date,url,actor1,actor2,location,tone,event_type,link_status,headline
2025-01-01 22:00:00.000000 UTC,https://newsday.co.tt/2025/01/01/khan-governments-soe-announcement-too-early-tipped-off-criminals/,MINIST OF NATIONAL SECURITY,ISRAEL,Israel,-4.77299185098952,40,Active,"Israel Khan: SoE announced too early, criminals tipped off - Trinidad and Tobago Newsday"
2025-01-01 22:15:00.000000 UTC,https://www.southernliving.com/president-jimmy-carter-died-7111583,ISRAELI,ISRAEL,Israel,2.93522267206478,45,Active,Former President Jimmy Carter Has Died
2025-01-01 23:00:00.000000 UTC,https://www.clevelandjewishnews.com/jns/remembering-the-president-who-sided-with-hamas/article_5a4ecb96-70e0-5977-8845-82cde54a6f68.html,PRESIDENT,HAMAS,"Jerusalem, Israel (general), Israel",1.63934426229508,51,Active,Remembering the president who sided with Hamas | JNS | clevelandjewishnews.com
2025-01-01 23:15:00.000000 UTC,https://www.aa.com.tr/en/middle-east/former-israeli-defense-minister-yoav-gallant-resigns-from-parliament/3439865,ISRAEL,PARLIAMENT,"Jerusalem, Israel (general), Israel",-4.49438202247191,831,Active,Former Israeli Defense Minister Yoav Gallant resigns from parliament
2025-01-01 23:45:00.000000 UTC,https://arabic.cnn.com/middle-east/article/2025/01/02/israels-former-defense-minister-yoav-gallant-announces-resignation-from-parliament,MINIST,ISRAEL,Lebanon,-2.91970802919708,831,Active,وزير دفاع إسرائيل السابق غالانت يعلن استقالته من الكنيست.. ويوضح سبب إقالته من حكومة نتنياهو - CNN Arabic
2025-01-02 22:45:00.000000 UTC,https://www.washingtoninstitute.org/policy-analysis/alawites-under-threat-syria,ALAWI,,"Qusayr, Tartus, Syria",-3.38762214983713,110,Active,Alawites Under Threat in Syria? | The Washington Institute
2025-01-02 23:00:00.000000 UTC,https://richmond.com/news/local/government-politics/richmond-city-council-president-vice-president-new-members-cynthia-newbille-andrew-breton-kenya-gibson-sarah-abubaker/article_ed021f60-c953-11ef-ba50-1bf13bca3ab0.html,,PRESIDENT,Jordan,1.06609808102346,42,Active,"City Council selects new president, vice president"
2025-01-02 23:30:00.000000 UTC,https://www.thespec.com/news/world/europe/italy-iran-diplomatic-tangle-escalates-over-detained-citizens-as-us-seeks-man-over-drone-attack/article_ad39992d-aefb-5473-b037-a3ed64303dc4.html,ITALIAN,IRAN,"Tehran, Tehran, Iran",-2.96208530805687,26,Active,Italy-Iran diplomatic tangle escalates over detained citizens as US seeks man over drone attack
2025-01-02 23:30:00.000000 UTC,https://www.midiario.com/mundo/siguen-las-tensiones-entre-el-presidente-y-la-vicepresidenta-de-ecuador/,ABBOT,GOVERNMENT,Turkey,-6.97674418604651,112,Active,Siguen las tensiones entre el presidente y la vicepresidenta de Ecuador
2025-01-02 23:30:00.000000 UTC,https://eturbonews.com/dictator-prime-minister-recep-tayyip-erdogan-turns-twitter-turke/,TURK,,Turkey,-4.90566037735849,133,Active,Dictator Prime Minister Recep Tayyip Erdogan turns off Twitter in Turkey
2025-01-02 23:45:00.000000 UTC,https://www.fitzhugh.ca/national-news/former-liberal-cabinet-minister-marco-mendicino-not-running-in-next-election-10025156,IMMIGRATION MINIST,CANADA,Israel,-1.02574892822387,51,Active,Jasper News - Rocky Mountain News
2025-01-02 23:45:00.000000 UTC,https://www.thebest.gr/article/777269-italia-sta-oria-diplomatikis-krisis-me-to-iran-gia-tin-kratisi-tis-dimosiografou-tsetsilia-sala,IRAN,IRAN,"Tehran, Tehran, Iran",-2.59067357512953,84,Active,Ιταλία: Στα όρια διπλωματικής κρίσης με το Ιράν για την κράτηση της δημοσιογράφου Τσετσίλια Σάλα
2025-01-03 20:30:00.000000 UTC,https://www.yahoo.com/news/diplomat-says-orleans-terror-attack-180650539.html,NEW ORLEANS,ISRAELI,Israel,-6.13397901533495,182,HTTP 404,
2025-01-03 21:00:00.000000 UTC,https://wfin.com/fox-national-news/diplomat-says-new-orleans-terror-attack-injured-israeli-reservists-on-leave-from-hamas-war-global-threat/,ISRAEL,UNITED STATES,Israel,-5.77705451586656,51,HTTP 403,
2025-01-03 21:45:00.000000 UTC,https://aristeguinoticias.com/0301/mundo/el-futuro-de-medio-oriente-es-incierto-ante-la-falta-de-soluciones-diplomaticas-alvarez-fuentes/,HAMAS,,Egypt,-4.93273542600897,43,Active,| Aristegui Noticias
2025-01-03 21:45:00.000000 UTC,https://foreignpolicy.com/2025/01/03/israel-gaza-human-rights-criticism-genocide-media/,COMMANDER,ISRAEL,"Gaza, Israel (general), Israel",-7.98076923076923,42,Active,Why Are We Ignoring Human Rights Criticism of Israel?
2025-01-03 22:00:00.000000 UTC,https://www.breitbart.com/2024-election/2025/01/03/joe-biden-awards-hunters-friend-with-presidential-citizens-medal/,ISRAEL,HUNTER,Israel,-2.40942146966243,10,Active,Joe Biden Awards Hunter's Friend with Presidential Citizens Medal
2025-01-03 22:45:00.000000 UTC,https://www.washingtoninstitute.org/policy-analysis/syria-breakdown-episode-two-putins-playground,SYRIA,RUSSIA,Syria,-4.08163265306122,10,Active,"The Syria Breakdown, Episode Two: Putin's Playground | The Washington Institute"
2025-01-03 23:00:00.000000 UTC,https://cowboystatedaily.com/2025/01/03/wyoming-man-took-jimmy-carter-fishing-after-he-lost-election-to-reagan/,NAVY,,Iran,0.15760441292356,51,Active,Wyoming Man Took Jimmy Carter Fishing After He Lost Election To Reagan | Cowboy State Daily
2025-01-03 23:00:00.000000 UTC,https://www.khaama.com/iran-expresses-concern-over-talibans-water-policy/,IRANIAN,AFGHANISTAN,"Tehran, Tehran, Iran",-4.12979351032449,12,Active,
2025-01-03 23:00:00.000000 UTC,https://www.samoanews.com/regional/honoring-life-president-jimmy-carter,PRESIDENT,EGYPT,Israel,5.45977011494253,45,HTTP 429,
2025-01-04 20:30:00.000000 UTC,https://www.washingtonexaminer.com/premium/3271173/kamala-harris-israel-support-democratic-presidential-nominees-hard-left-activists-party-traditional-stance/,,WASHINGTON,"Jerusalem, Israel (general), Israel",-0.216763005780351,40,HTTP 403,
2025-01-04 20:30:00.000000 UTC,https://www.justiceinfo.net/en/139908-israels-sacked-defence-minister-gallant-quits-parliament.html,ULTRA ORTHODOX,ADVOCATE,"Gaza, Israel (general), Israel",-3.88127853881279,20,Active,Israel's sacked defence minister Gallant quits parliament - JusticeInfo.net
2025-01-04 20:45:00.000000 UTC,https://tg.la7.it/vaticano/parole-papa-relazioni-diplomatiche-israele-siria-04-01-2025-229308,UNIVERSITY,IRAN,"Damascus, Dimashq, Syria",-1.54798761609907,40,Active,"Le parole del Papa e le reazioni diplomatiche: tensioni con Israele, apertura con la Siria | TGLA7"
2025-01-04 22:00:00.000000 UTC,https://www.lavoz.com.ar/noticias/agencias/vicepresidenta-de-ecuador-hace-controversial-anuncio-desde-el-5-de-enero-asumire-la-presidencia/,ECUADOR,ABBOT,Turkey,-3.43137254901961,10,Active,Vicepresidenta de Ecuador hace controversial anuncio: “desde el 5 de enero asumiré la presidencia”
2025-01-04 22:30:00.000000 UTC,https://pjmedia.com/rabbi-michael-barclay/2025/01/04/in-his-last-presidential-act-biden-again-attacks-religion-n4935668,RELIGION,GEORGE SOROS,Israel,-2.05032618825723,51,Active,"In His Latest Presidential Act, Biden Again Attacks Religion – PJ Media"
2025-01-04 22:30:00.000000 UTC,https://www.forbes.com/sites/tylerroush/2025/01/04/elon-musk-pushes-for-britains-king-charles-to-dissolve-parliament-as-lawmakers-say-tesla-ceo-is-misinformed/,,DEUTSCHLAND,Syria,-5.95065312046444,51,Active,Elon Musk Pushes King Charles To Dissolve Parliament
2025-01-04 23:00:00.000000 UTC,https://www.healthcareitnews.com/category/resource-topic/government?return2url=/topics/24631&type=blog,ADMINISTRATION,,"Dubai, Dubayy, United Arab Emirates",3.07692307692307,71,HTTP 403,
2025-01-05 21:45:00.000000 UTC,https://www.i24news.tv/en/news/israel-at-war/artc-israel-willing-to-allow-hamas-remain-in-gaza-if-it-disarms-diplomatic-official,HAMAS,ISRAEL,Gaza Strip,-2.61780104712041,10,Active,Israel Willing To Allow Hamas Remain In Gaza If It Disarms - Source - i24NEWS
2025-01-05 21:45:00.000000 UTC,https://www.postnewsgroup.com/commentary-my-sunday-school-lesson-with-president-jimmy-carter/,JIMMY CARTER,,Iraq,-2.17821782178218,20,Active,COMMENTARY: My Sunday School Lesson with President Jimmy Carter | Post News Group
2025-01-05 22:15:00.000000 UTC,https://www.newarab.com/news/syrian-government-takes-control-border-crossings-turkey,SYRIA,TURKEY,"Damascus, Dimashq, Syria",0.51020408163265,192,Active,Syrian government takes control of border crossings with Turkey
2025-01-05 22:45:00.000000 UTC,https://www.newarab.com/news/hezbollah-will-not-veto-gen-joseph-aoun-lebanon-president,LEBANON,LEBANON,Israel,-4.17690417690418,154,Active,Hezbollah 'will not veto' Gen. Joseph Aoun for Lebanon president
2025-01-06 23:30:00.000000 UTC,https://www.mymotherlode.com/news/national/general-election/3481575/artists-who-boycott-israel-push-back-against-florida-governments-ban-on-hiring-them.html,UNITED STATES,,"Gaza, Israel (general), Israel",-1.90282674517764,50,HTTP 404,
2025-01-06 23:45:00.000000 UTC,https://indianexpress.com/article/india/indian-nurses-case-handled-by-houthis-her-death-penalty-not-ratified-by-president-yemen-embassy-9763739/,NURSE,PRESIDENT,"Sanaa, San‘a', Yemen",-5.9090909090909,57,HTTP 403,
2025-01-07 21:00:00.000000 UTC,https://www.politika.rs/scc/clanak/653837/hamas-porucio-da-tramp-treba-da-bude-diplomaticniji,HAMAS,PRESIDENT,Israel,1.25,874,Active,Хамас поручио да Трамп треба да буде ''дипломатичнији'
2025-01-07 21:15:00.000000 UTC,https://www.aa.com.tr/en/europe/greece-s-left-wing-syriza-party-accuses-government-of-tolerating-far-right-violence/3444186,CRIMINAL,LAWMAKER,"Anadolu, Turkey (general), Turkey",-7.42358078602616,173,Active,Greece’s left-wing SYRIZA party accuses government of tolerating far-right violence
2025-01-07 21:45:00.000000 UTC,https://arynews.tv/qatar-plans-to-help-boost-syrian-government-salaries-sources/,AIRWAY,DOHA,"Doha, Ad Daw?ah, Qatar",0.0,60,Active,Qatar plans to help boost Syria govt salaries: sources
2025-01-07 21:45:00.000000 UTC,https://confirmado.com.ve/noboa-encarga-por-cuatro-dias-la-presidencia-de-ecuador-a-vicepresidenta-temporal/,CHIEF OF STATE,,Turkey,-4.28994082840237,90,Active,Noboa encarga por cuatro días la Presidencia de Ecuador a vicepresidenta temporal
2025-01-07 21:45:00.000000 UTC,https://www.courthousenews.com/fundamental-rights-caught-in-the-crosshairs-as-government-and-tech-battle-over-tiktok-ban/,CHINESE,GOVERNMENT,Israel,-4.12087912087912,14,Active,Fundamental rights caught in the crosshairs as government and tech battle over TikTok ban | Courthouse News Service
2025-01-07 21:45:00.000000 UTC,https://www.9news.com.au/national/bridget-mckenzie-blames-government-for-antisemitic-attacks/7307f785-deb6-472d-8436-1ff61a072e5a,GOVERNMENT,ISRAEL,"Gaza, Israel (general), Israel",-9.66057441253262,190,Active,Senator links government stance to surge in antisemitic attacks | Nine.com.au
2025-01-07 22:00:00.000000 UTC,https://www.abc.es/deportes/orgullodenervion/noticias-sevilla-fc/sevilla-postula-jose-castro-presidente-junta-20250107221749-nts.html,JUDGE,PRESIDENT,"Aleppo, ?alab, Syria",-2.44897959183674,26,Active,El Sevilla postula a José Castro como presidente de la junta de accionistas
2025-01-07 22:45:00.000000 UTC,https://www.thejc.com/news/uk/make-uk-a-khamenei-free-zone-campaign-launches-outside-parliament-with-support-from-robert-jenrick-r4hj9egi,GOVERNMENT,IRAN,"Tehran, Tehran, Iran",-3.12117503059975,51,Active,Make UK a ‘Khamenei-Free Zone’! Campaign launches outside Parliament - The Jewish Chronicle
2025-01-07 22:45:00.000000 UTC,https://13tv.co.il/item/news/politics/state-policy/oj0c1-904409807/?pid=7&cid=902992371,QATAR,,Gaza Strip,-4.75161987041037,51,Active,"העסקה מתעכבת: בישראל פסימיים, שליחו של טראמפ יצטרף למו""מ | חדשות 13"
2025-01-07 23:15:00.000000 UTC,https://www.qcsunonline.com/story/2025/01/08/opinion/gods-government-gives-liberty/26594.html,EGYPT,,Israel,0.37105751391466,10,Connection Error,
2025-01-08 13:15:00.000000 UTC,https://www.yahoo.com/news/hezbollah-weakened-lebanon-hold-presidential-124322038.html,LEBANESE,SAUDI,"Beirut, Beyrouth, Lebanon",-0.25542784163474,51,Active,"Lebanese army chief edges towards presidency, Lebanese sources say"
2025-01-08 13:45:00.000000 UTC,https://www.hindustantimes.com/world-news/with-hezbollah-weakened-lebanon-to-hold-presidential-vote-101736341425589.html,LEBANON,,"Beirut, Beyrouth, Lebanon",-0.37641154328733,129,Active,"With Hezbollah weakened, Lebanon to hold presidential vote | World News"
2025-01-08 14:45:00.000000 UTC,https://www.cnbctv18.com/world/lebanon-parliament-to-elect-president-with-hezbollahs-power-on-the-decline-19536803.htm,LEBANESE,SAUDI,"Beirut, Beyrouth, Lebanon",-0.27027027027027,51,Active,Lebanon parliament to elect president with Hezbollah’s power on the decline - CNBC TV18
2025-01-08 16:00:00.000000 UTC,https://news.az/news/lebanon-to-hold-presidential-vote-as-hezbollah-weakens,LEBANESE,SAUDI,"Beirut, Beyrouth, Lebanon",1.33928571428571,51,Active,Lebanon to hold presidential vote as Hezbollah weakens | News.az
2025-01-08 18:30:00.000000 UTC,https://www.middleeastmonitor.com/20250108-factbox-whos-in-the-frame-to-be-lebanons-next-president/,UNITED STATES,LEBANON,Lebanon,-0.29806259314456,129,Active,FACTBOX – Who’s in the frame to be Lebanon’s next president? – Middle East Monitor
2025-01-08 20:30:00.000000 UTC,https://english.aawsat.com/features/5099298-who%E2%80%99s-frame-be-lebanon%E2%80%99s-next-president,UNITED STATES,LEBANON,Lebanon,-0.15455950540958,129,Active,Who’s in the Frame to Be Lebanon’s Next President?
2025-01-08 21:15:00.000000 UTC,https://indianexpress.com/article/news-today/lebanon-presidential-election-2025-hezbollah-syria-iran-israel-9767982/,LEBANESE,SAUDI,"Riyadh, Ar Riya?, Saudi Arabia",-0.15082956259427,51,HTTP 403,
2025-01-08 22:45:00.000000 UTC,https://www.devdiscourse.com/article/politics/3219562-lebanons-presidential-election-a-turning-point-amid-regional-shifts,SYRIA,ARMY CHIEF,Lebanon,-1.16959064327485,51,Active,Lebanon's Presidential Election: A Turning Point Amid Regional Shifts | Politics
2025-01-08 22:45:00.000000 UTC,https://www.stripes.com/theaters/us/2025-01-08/president-jimmy-carter-capitol-16420579.html,ALEXANDRIA,,"Alexandria, Al Iskandariyah, Egypt",2.40770465489567,130,Active,‘Devoted his life to service and sacrifice’: American public says goodbye as Carter lies in state at Capitol | Stars and Stripes
2025-01-08 22:45:00.000000 UTC,https://www.yahoo.com/news/nyc-kicks-off-election-process-221000127.html,SCHOOL,ISRAEL,Israel,-0.77220077220077,160,Active,NYC kicks off election process for local and citywide education councils
2025-01-08 23:00:00.000000 UTC,https://www.kathimerini.com.cy/gr/politiki/diplomatia/me-to-blemma-sti-syria-i-trimeris-toy-kairoy,CYPRUS,PRESIDENT,"Alexandria, Al Iskandariyah, Egypt",1.47548786292242,51,Active,"Mε το βλέμμα στη Συρία η Τριμερής του Καΐρου, Η ΚΑΘΗΜΕΡΙΝΗ, kathimerini.com.cy"
2025-01-08 23:15:00.000000 UTC,https://www.voanews.com/a/india-boosts-diplomatic-contacts-with-afghanistan-s-taliban/7930005.html,,TALIBAN,"Chabahar, Sistan va Baluchestan, Iran",-2.71493212669684,43,Active,India boosts diplomatic contacts with Afghanistan's Taliban
2025-01-08 23:15:00.000000 UTC,https://www.giornaledicalabria.it/gran-lavoro-diplomatico-cecilia-sala-e-in-italia-la-soddisfazione-di-meloni-tajani-e-crosetto/,ITALY,IRAN,Iran,3.7037037037037,173,Connection Error,
2025-01-08 23:30:00.000000 UTC,https://yalibnan.com/2025/01/09/lebanons-shiite-parliamentary-blocs-still-oppose-aouns-presidential-candidacy-al-jadeed-tv/,,WEBSITE,Lebanon,-1.23022847100176,46,Active,Lebanon’s Shiite parliamentary blocs still oppose Aoun’s presidential candidacy. Al- Jadeed TV – Ya Libnan
2025-01-08 23:30:00.000000 UTC,https://radio.foxnews.com/2025/01/08/senator-shelley-moore-capito-on-republicans-meeting-with-president-elect-trump-to-figure-out-his-top-priorities/,SENATOR,PRESIDENT,Israel,-1.36986301369863,40,Active,Senator Shelley Moore Capito On Republicans Meeting With President-Elect Trump To Figure Out His Top Priorities | Brian Kilmeade Show
2025-01-09 03:30:00.000000 UTC,https://en.tempo.co/read/1961790/who-will-be-lebanons-next-president,UNITED STATES,LEBANON,Lebanon,-0.91324200913242,129,Active,Who Will Be Lebanon's Next President? - World En.tempo.co
2025-01-09 05:30:00.000000 UTC,https://www.newsbomb.gr/diplomatiko-diavatirio/story/1617052/h-apotimisi-tis-symmaxias-elladas-aigyptou-kyprou-sti-saoudiki-aravia-ti-deftera-o-prothypourgos,GREEK,SAUDI,"Riyadh, Ar Riya?, Saudi Arabia",0.25773195876289,42,Active,H αποτίμηση της συμμαχίας Ελλάδας-Αιγύπτου-Κύπρου – Στη Σαουδική Αραβία τη Δευτέρα ο πρωθυπουργός - Newsbomb
2025-01-09 19:30:00.000000 UTC,https://dailythepatriot.com/us-backed-army-chief-elected-president-of-lebanon/,ISRAEL,LEBANON,Syria,0.45871559633028,874,HTTP 404,
2025-01-09 23:30:00.000000 UTC,https://massispost.com/2025/01/iran-supports-armenian-governments-crossroads-of-peace-project/,IRAN,ARMENIA,Iran,1.48809523809524,50,Active,Iran Supports Armenian Government's 'Crossroads of Peace' Project • MassisPost
2025-01-09 23:30:00.000000 UTC,https://kuwaittimes.com/article/23230/world/middle-east/joseph-aoun-new-lebanon-president/,VILLAGE,,"Beirut, Beyrouth, Lebanon",0.44792833146696,13,Active,Joseph Aoun new Lebanon president | Kuwait Times Newspaper
2025-01-09 23:30:00.000000 UTC,https://www.mentalfloss.com/article/68701/11-surprising-movies-jimmy-carter-watched-while-he-was-president,EGYPT,PRESIDENT,Egypt,3.47826086956522,84,Active,11 Surprising Movies Jimmy Carter Watched While He Was President
2025-01-09 23:45:00.000000 UTC,https://www.urduvoa.com/a/lebanon-s-army-chief-elected-president-showing-regional-shifts/7931168.html,US AMBASSADOR,SAUDI ARABIA,"Riyadh, Ar Riya?, Saudi Arabia",0.69348127600555,51,Active,لبنان میں فوجی سربراہ صدر منتخب، کیا سعودی اثر و رسوخ بحال ہو رہا ہے؟
2025-01-09 23:45:00.000000 UTC,https://www.archyde.com/micheal-martin-congratulates-newly-elected-army-commander-joseph-aoun-as-president-ending-two-year-deadlock/,LEBANON,IRELAND,"Beirut, Beyrouth, Lebanon",-0.990099009900991,20,HTTP 404,
2025-01-09 23:45:00.000000 UTC,https://ilmanifesto.it/una-partita-diplomatica-intorno-alluomo-dei-droni,MILAN,,"Tehran, Tehran, Iran",-1.00719424460432,43,HTTP 500,
2025-01-09 23:45:00.000000 UTC,https://la-razon.com/mundo/2025/01/09/consejo-de-seguridad-de-la-onu-celebra-eleccion-de-nuevo-presidente-en-libano/,PRESIDENT,LEBANON,Lebanon,-0.3921568627451,173,HTTP 403,
2025-01-10 08:00:00.000000 UTC,https://in-cyprus.philenews.com/local/president-travels-to-lebanon-for-talks-with-president-joseph-aoun/,MEDIA,LEBANON,Lebanon,5.05050505050505,10,Active,President travels to Lebanon for talks with President Joseph Aoun | en.philenews.com
2025-01-10 17:00:00.000000 UTC,https://www.euronews.com/2025/01/10/italian-fm-tajani-meets-with-head-of-syrias-new-government-in-damascus,FRENCH,DAMASCUS,"Damascus, Dimashq, Syria",-0.17793594306049,43,HTTP 406,
2025-01-10 17:15:00.000000 UTC,https://elperiodico.com.do/2025/01/10/felicitacion-de-mahmud-abas-al-nuevo-presidente-de-libano-joseph-aoun/,LEBANON,ISRAEL,Lebanon,0.0,51,Active,"Felicitación de Mahmud Abás al nuevo presidente de Líbano, Joseph Aoun - Periódico Dominicano"
2025-01-10 19:15:00.000000 UTC,https://www.al-monitor.com/originals/2025/01/lebanons-mikati-set-meet-sharaa-syria-wake-aouns-election,SYRIAN,LEBANON,"Damascus, Dimashq, Syria",-6.85358255451713,190,Active,Lebanon's Mikati set to meet Sharaa in Syria in wake of Aoun's election - AL-MONITOR: The Middle Eastʼs leading independent news source since 2012
2025-01-10 23:15:00.000000 UTC,https://foreignpolicy.com/2025/01/10/foreign-policy-news-quiz-canada-trudeau-tibet-greenland-tibet-earthquake-lebanon/,LEBANESE,LEBANON,Lebanon,-3.46020761245675,141,Active,Trudexit and Tibet: Foreign Policy's Weekly International News Quiz
2025-01-10 23:15:00.000000 UTC,https://www.bignewsnetwork.com/news/274929796/explainer-after-two-year-gridlock-whats-next-for-lebanon-under-newly-elected-president-aoun,ACTOR,LEBANON,"Beirut, Beyrouth, Lebanon",-2.25511931154497,10,Active,"Explainer: After two-year gridlock, what's next for Lebanon under newly elected President Aoun?"
2025-01-10 23:30:00.000000 UTC,https://www.breitbart.com/2024-election/2025/01/10/jim-jordan-investigate-hunter-bidens-investigators-new-congress/,PRESIDENT,JORDAN,Jordan,-3.07262569832402,80,Timeout,
2025-01-10 23:45:00.000000 UTC,http://jordantimes.com/news/local/king-phone-call-congratulates-lebanons-president-election,AMMAN,LEBANON,Lebanon,10.8433734939759,51,Active,"King, in phone call, congratulates Lebanon’s president on election | Jordan Times"
2025-01-10 23:45:00.000000 UTC,http://jordantimes.com/news/region/egypt-top-diplomat-meets-plo-urges-palestinian-unity,EGYPT,ISRAEL,"Cairo, Al Qahirah, Egypt",-3.85756676557864,40,Active,"Egypt top diplomat meets PLO, urges Palestinian unity | Jordan Times"
2025-01-11 22:30:00.000000 UTC,https://www.bostonglobe.com/2025/01/11/world/lebanons-prime-minister-meets-with-syrian-leader/,LEBANESE,,Lebanon,-4.81540930979133,112,Active,Lebanon’s prime minister meets with Syrian leader - The Boston Globe
2025-01-11 22:30:00.000000 UTC,https://www.albayan.ae/news/uae/government/20203,COMMANDER,,"Dubai, Dubayy, United Arab Emirates",7.07964601769912,51,Active,حمدان بن محمد: محمد بن زايد العز والعزوة والقائد المعلم
2025-01-11 22:45:00.000000 UTC,https://musavat.com/news/diplomatin-mollaligi-ve-ya-agaye-pakayin-get-tarixi-oyren-sonra-goftegu-ele_1135311.html,GAZA,,"Karabakh, Az¯arbayjan-e Gharbi, Iran",-0.75503355704698,20,Active,"Diplomatın mollalığı və ya ağaye-Pakayin, get tarixi öyrən, sonra goftegu elə!"
2025-01-11 23:00:00.000000 UTC,https://article.wn.com/view/2025/01/11/Somali_president_visits_Ethiopia_in_first_trip_since_bilater/,ETHIOPIAN,HASSAN,"Ankara, Ankara, Turkey",0.0,51,Active,Somali president visits Ethiopia in first trip since bilateral disputes resolved by Ankara-brokered agreement - Worldnews.com
2025-01-11 23:00:00.000000 UTC,https://www.cnbc.com/2025/01/11/biden-awards-pope-francis-presidential-medal-of-freedom-with-distinction.html,PRESIDENT,RUSSIA,"Gaza, Israel (general), Israel",1.49253731343283,10,Active,Biden awards Pope Francis Presidential Medal of Freedom with distinction
2025-01-11 23:15:00.000000 UTC,https://addisstandard.com/ethiopia-somalia-agree-to-restore-full-diplomatic-ties-enhance-regional-security-cooperation/,ETHIOPIA,SOMALIA,"Ankara, Ankara, Turkey",6.3953488372093,30,HTTP 403,
2025-01-11 23:30:00.000000 UTC,https://www.diariolasamericas.com/florida/sello-floridano-el-gabinete-del-presidente-electo-trump-n5369435,,AUTHORITIES,Saudi Arabia,1.40117994100295,42,HTTP 403,
2025-01-11 23:30:00.000000 UTC,https://www.defensenews.com/global/the-americas/2018/08/13/diplomatic-row-jeopardizes-15b-helicopter-deal-between-turkey-and-pakistan/,AEROSPACE,PAKISTAN,"Ankara, Ankara, Turkey",-3.69881109643329,331,Active,Diplomatic row jeopardizes $1.5B helicopter deal between Turkey and Pakistan
2025-01-11 23:30:00.000000 UTC,https://wardheernews.com/from-reform-to-controversy-president-hassan-sheikh-mohamuds-second-term/,INDUSTRY,GOVERNMENT,Saudi Arabia,-7.01499758103532,10,Active,From Reform to Controversy: President Hassan Sheikh Mohamud’s second term - WardheerNews
2025-01-11 23:45:00.000000 UTC,https://noticiaslatam.lat/20250111/una-jueza-en-ecuador-exige-la-restitucion-en-el-cargo-de-la-vicepresidenta-abad-1160396796.html,ABBOT,GOVERNMENT,Turkey,-2.66990291262136,112,Active,"Una jueza en Ecuador exige la restitución en el cargo de la vicepresidenta Abad - 11.01.2025, Sputnik Mundo"
2025-01-12 09:45:00.000000 UTC,https://eturbonews.com/statement-decisions-taken-government-following-loss-russian-metr/,EGYPT,EGYPTIAN,"Sharm El-Sheikh, Janub Sina', Egypt",0.46153846153846,51,Active,Statement on decisions taken by the government following the loss of the Russian Metrojet flight
